"","ID_","YEAR","CLASS_","REALINC","REALRINC","WRKSTAT","HRS1","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSTA","SPWRKSLF","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","SIBS","CHILDS","AGE","EDUC","PAEDUC","MAEDUC","SPEDUC","SEX","RACE","RES16","REG16","MOBILE16","FAMILY16","INCOM16","BORN","PARBORN","GRANBORN","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","UNRELAT","EARNRS","REGION","RELIG","ATTEND","RELIG16","FUND16","SPREL","RACLIVE","HEALTH","WKSUB","WKSUBS","WKSUP","UNEMP","OWNGUN","PARTNERS","PASEI10","PRESTG10","SEI10","SPPRES10","SPSEI10","UNION_","ETH1","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE"
"11","85",1984,"L3",33016,39020.4285,"1",40,0,"78","96","1",0,NA,"7",0,"96","96",1,"43",1,3,31,14,14,12,12,1,"1","2","7","3","0",4,1,"0","0",5,1,2,0,2,0,2,"9","1",3,"1","1","1",1,"2",1,1,1,0,"2",NA,67.7,28,18.8,22,14.8,"1","25",3,"2","1","1","1",1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","1","1","2","2","2","2","3","3","3","2","2","2","2","2","2","3",NA,NA,NA,NA,NA,"3",1,1,1,0,1,"1","1",1,0,0,1,1,3,5,3,3,"1","1","1","2","1","3","3","3",1,0,"2","2","2","3"
"12","97",1984,"L4",33016,NA,"2",20,1,"49","58","1",0,NA,"1",0,"58","58",0,"48",3,3,68,17,13,16,13,1,"1","6","3","3","1",2,1,"0","0",2,0,0,0,2,0,2,"9","4",0,"4","3","1",1,"1",0,NA,0,1,"2",NA,62,49,56.9,37,35.1,"4","8",4,"1","2","3","2",7,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"3","1","1","2","2","2","3","2","1","2","2","1","2","1","1","2","2",NA,NA,NA,NA,NA,"2",1,1,1,1,1,"1","1",0,0,0,1,1,5,5,3,5,"4","1","3","2","2","2","3","3",1,0,"2","2","2","3"
"13","99",1984,"L3",92858,33016,"1",40,0,"13","80","1",0,NA,"1",0,"80","80",0,"65",4,2,37,16,12,12,16,0,"1","6","3","2","1",3,1,"0","4",4,0,2,0,2,0,2,"3","2",7,"2","2","1",0,"2",1,1,1,0,"2",NA,34.1,54,73.2,60,76.3,"4","21",3,"2","2","2","2",5,1,1,0,0,0,1,1,NA,NA,0,0,1,1,1,0,1,1,"2","1","2","1","1","1","1","2","2","3","2","1","2","2","1","2","2",NA,NA,NA,NA,NA,"1",1,0,1,0,1,"2","4",1,0,0,0,1,2,3,3,4,"2","1","2","2","1","1","1","1",0,0,"2","2","2","3"
"14","107",1984,"L3",46773,33016,"1",40,0,"43","52","1",0,NA,"2",0,"52","52",0,"63",1,3,51,12,9,12,12,1,"1","6","3","2","1",3,1,"2","2",3,0,0,0,3,0,3,"3","2",5,"2","2","2",1,"2",1,1,0,0,"1",NA,45.4,39,67.7,29,39.5,"4","13",4,"1","1","2","2",3,1,0,0,1,0,0,1,NA,0,1,0,0,1,NA,0,1,1,"2","2","2","1","2","2","2","2","2","2","3","2","2","3","2","2","1",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"2","4",1,0,0,1,1,3,3,2,5,"3","1","2","1","1","1","2","1",1,0,"1","2","2","3"
"15","110",1984,"L3",33016,6053,"2",18,0,"49","65","1",0,NA,"4",0,"65","65",0,"53",1,3,36,15,8,12,12,0,"1","6","3","2","1",3,1,"0","4",5,1,2,0,2,0,4,"3","2",7,"2","2","2",1,"1",1,1,0,1,"1",NA,59.9,41,38.9,48,35.2,"2","21",3,"3","1","2","2",7,1,NA,0,1,1,0,1,NA,0,1,NA,0,0,1,0,1,1,"2","2","1","2","2","2","2","2","2","3","3","2","2","2","3","2","2",NA,NA,NA,NA,NA,"2",1,1,1,0,1,"3","3",0,0,0,1,1,3,4,3,5,"2","1","2","3","1","2","3","2",1,1,"2","1","2","3"
"16","128",1984,"L1",46773,39020.4285,"1",40,0,"73","89","1",1,NA,"1",0,"89","89",0,"60",6,4,51,10,8,10,11,1,"2","2","6","3","1",2,1,"0","0",4,0,0,2,2,0,2,"3","2",4,"1","1","2",1,"1",1,1,0,0,"2",NA,14,33,46.6,35,26.8,"3","1",4,"1","1","3","2",1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","1","1","2","2","3","2","2","2","2","2","2","2","2","2","2","2",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1","1",1,0,NA,1,1,1,1,1,1,"0","1","2","2","1","3","3","2",0,1,"2","2","2","3"
"17","136",1984,"L3",46773,39020.4285,"1",40,0,"52","50","1",0,NA,"1",0,"50","50",0,"39",1,3,68,14,16,8,12,1,"1","3","3","2","1",2,1,"1","4",3,0,0,0,3,0,3,"3","1",3,"1","2","1",0,"2",1,1,0,1,"1",NA,63.3,31,37.6,25,26.8,"4","11",4,"1","1","2","3",4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,"2","2","3","1","1","1","2","2","1","2","2","1","2","1","1","2","2",NA,NA,NA,NA,NA,"2",1,1,1,1,1,"1","1",1,0,0,1,1,2,5,4,3,"5","1","1","1","1","2","1","3",0,1,"2","1","2","3"
"18","145",1984,"L3",33016,15132,"1",37,0,"51","91","1",0,NA,"1",0,"91","91",1,"40",1,1,29,12,NA,12,11,0,"2","6","2","1","1",3,1,"0","0",3,1,0,0,2,0,2,"2","1",8,"1","1","1",1,"2",1,1,1,0,"2",NA,26.9,40,41.8,35,31.6,"2",NA,6,"1","1","2","1",3,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,"2","1","2","1","1","2","1","2","2","2","3","2","3","2","2","2","1",NA,NA,NA,NA,NA,"1",NA,0,1,0,NA,"1","1",0,0,0,1,1,3,3,3,3,"1","1","1","1","1","1","2","3",0,0,"2","2","2","3"
"19","149",1984,"L2",33016,20635,"1",40,0,"23","35","1",0,NA,"2",0,"35","35",0,"92",3,3,38,16,12,10,14,1,"1","6","2","1","1",3,1,"0","1",5,2,1,0,2,0,2,"2","2",7,"2","2","2",0,"2",1,1,0,0,"2",NA,48.4,64,82.5,48,36.9,"1","11",5,"2","1","2","2",3,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","1","2","1","2","1","1","2","2","1","3","2",NA,NA,NA,NA,NA,"3",0,0,0,0,0,"1","1",0,0,0,1,1,2,2,2,5,"5","1","2","2","2","3","3","2",1,0,"2","2","2","3"
"20","169",1984,"L3",33016,15132,"1",40,0,"23","23","1",0,NA,"1",0,"23","23",0,"30",2,0,26,16,16,12,16,0,"1","3","2","1","1",4,1,"0","0",2,0,0,0,2,0,2,"2","1",7,"2","2","1",1,"2",1,1,1,0,"2",NA,89.1,53,41.1,61,71.7,"2","8",6,NA,"2",NA,"2",5,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,"2","1","2","1","1","2","1","1","1","2","2","2","2","1","1","1","1",NA,NA,NA,NA,NA,"1",0,0,1,0,0,"1","1",1,0,0,1,1,2,3,1,4,"5","1","2","1","1","1","1","1",0,NA,"2","2","2","3"
"21","171",1984,"L3",33016,6053,"2",20,0,"47","47","1",0,NA,"1",0,"47","47",0,"96",1,0,33,14,NA,16,14,0,"1","5","2","3","1",3,1,"0","4",2,0,0,0,2,0,2,"2","1",4,"1","2","2",1,"2",1,1,1,1,"2",NA,23.3,31,39.7,31,39.7,"4","26",4,"1","1",NA,"2",2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,"2","2","2","1","3","2",NA,"3","2","2","3","1","3","2","2","2","1",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1",NA,NA,0,0,1,1,3,3,1,3,"3","1","2","2","2","4","3","3",0,1,"2","2","2","3"
"22","174",1984,"L2",33016,39020.4285,"3",NA,0,"56","45","1",0,NA,"7",0,"45","45",0,"86",5,0,39,14,10,12,12,1,"1","3","3","2","1",4,1,"0","2",4,0,1,1,2,0,4,"3","1",7,"2","2","1",1,"2",1,1,1,1,"1",NA,50,34,31.6,36,24.6,"1","2",4,"2","3","2","2",7,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","1","1","1","1","2","1","1","2","1","1","1","1",NA,NA,NA,NA,NA,"2",1,1,1,1,1,"4","1",1,0,0,0,1,3,5,3,3,"5","1","1","1","1","1","3","2",0,0,"1","1","1","3"
"23","198",1984,"L3",46773,33016,"1",40,0,"56","53","1",1,NA,"1",0,"53","53",0,"71",3,3,34,14,12,11,17,1,"1","3","5","3","3",3,1,"0","2",4,2,0,0,2,0,3,"9","2",3,NA,NA,"2",1,"1",1,1,0,1,"1",NA,53.6,25,23.8,42,39.2,"1","8",3,"1","1","1","1",3,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,"2","1","2","2","2","1","3","2","2","2","1","1","3","1","1","3","3",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1","4",1,0,0,1,1,3,3,4,4,"1","3","2","1","1","2","2","1",1,0,"2","2","1","3"
"24","201",1984,"L3",33016,23386,"1",40,0,"52","42","1",0,NA,"6",0,"42","42",0,"91",6,0,38,14,13,12,14,1,"1","4","9","2","1",3,1,"0",NA,4,0,0,1,3,0,4,"9","1",7,"2","2","1",1,"2",0,NA,1,1,"2",NA,32,31,37.6,37,33.2,"4","14",5,"2","1","2","2",5,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,NA,1,"2","1","2","1","2","1","2","2","2","1","2","1","2","2","1","2","1",NA,NA,NA,NA,NA,"1",1,0,1,1,1,"1","1",1,0,0,1,1,3,3,4,4,"3","1","2","1","1","1","2","1",1,0,"2","2","2","3"
"25","213",1984,"L3",46773,46773,"1",55,0,"13","51","1",0,NA,"7",0,"51","51",0,"17",1,2,37,16,14,12,14,1,"1","3","2","3","1",3,1,"0","0",4,1,1,0,2,0,1,"5","1",5,"1","1","1",1,"3",1,1,1,0,"2",NA,86.6,59,73.9,39,20.8,"4","11",5,"2",NA,"1","2",5,1,NA,0,1,NA,0,1,1,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","2","2","2","2","3","2","1","2","2","1","3","3",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"3","3",1,0,0,1,1,3,5,3,4,"5","1","2","2","1","2","2","1",0,0,"2","2","2","3"
"26","221",1984,"L3",92858,46773,"1",40,0,"10","57","1",0,NA,"7",0,"57","57",0,"91",2,0,49,16,7,10,12,1,"1","3","3","3","1",2,1,"0","4",2,0,0,0,2,0,2,"5","4",0,"2","2","1",1,"2",1,1,0,0,"2",NA,32,65,80.7,47,38.8,"4","13",2,"3","1","1","1",1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,"1","1","2","1","3","3","3","1","1","1","1","2","2","1","1","2","3",NA,NA,NA,NA,NA,"3",1,1,1,1,1,"3","4",0,0,0,0,0,1,2,1,1,"7","2","3","2","1","3","1","3",1,0,"2","2","2","3"
"27","237",1984,"L2",33016,39020.4285,"1",89,0,"47","87","1",1,NA,"1",0,"87","87",0,"82",2,1,32,12,10,12,11,1,"1","4","7","1","1",3,1,"0","0",3,0,1,0,2,0,2,"7","1",2,"1","3","1",0,"2",1,1,1,1,"2",NA,31.1,48,57.5,39,38.1,"4","30",3,"2","1","1","2",3,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,"2","1","2","1","1","2","2","2","2","2","2","1","3","1","2","2","2",NA,NA,NA,NA,NA,"3",1,0,1,0,1,"1","3",1,0,0,0,1,3,3,2,4,"1","1","3","1","2","1","2","3",0,0,"2","2","2","3"
"28","243",1984,"L2",39020.4285,39020.4285,"1",50,0,"65","47","1",0,NA,"7",0,"47","47",1,"43",3,2,27,13,8,10,12,1,"1","5","7","1","1",3,1,"0","0",4,2,0,0,2,0,1,"7","1",8,"1","1","1",1,"2",1,1,1,0,"1",NA,67.7,48,35.2,28,21.6,"4",NA,6,"2","2","2","1",5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,"2","1","2","1","1","1","1","1","2","3","2","1","2","2","2","2","2",NA,NA,NA,NA,NA,"1",0,0,0,0,0,"1","1",1,1,0,1,1,3,4,3,4,"2","2","1","2","1","2","2","1",0,0,"2","1","2","3"
"29","244",1984,"L3",92858,39020.4285,"1",35,0,"51","14","1",1,NA,"1",0,"14","14",1,"20",7,2,53,12,8,10,16,0,"1","2","7","3","1",2,1,"0","0",2,0,0,0,2,0,2,"7","2",5,"1","1","2",NA,"2",1,1,0,0,"1",NA,39.9,40,41.8,70,82.9,"3","24",NA,"1","2","1","1",5,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,"3","1","2","2","1","1","2","1","3","2","1","1","2","2","1","2","2",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1","1",1,0,0,1,1,3,3,2,4,NA,NA,"2","2","1","1","2","3",0,1,"1","1","1","3"
"30","259",1984,"L3",33016,17884,"1",40,0,"42","57","1",0,NA,"7",0,"57","57",0,"64",8,1,56,10,NA,4,13,1,"1","3","1","1","1",2,1,"8","4",2,0,0,0,2,0,2,"1","2",7,"2","2","2",1,"2",1,1,0,1,"2",NA,24,24,20.7,47,38.8,"1","3",4,"1","1","2","1",4,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,"2","1","2","1","2","1","1","1","2","2","3","1","2","1","1","2","2",NA,NA,NA,NA,NA,"2",1,0,1,1,1,"1","1",1,0,0,1,1,3,3,2,4,"0","2","2","2","2","2","2","1",0,1,"2","2","2","3"
"31","277",1984,"L3",92858,23386,"1",40,0,"54","50","1",1,NA,"1",0,"50","50",0,"89",6,1,38,15,12,12,12,1,"1","5","2","3","1",3,1,"0","0",2,0,0,0,2,0,2,"2","2",1,"2","2","1",NA,"2",1,1,0,1,"2",NA,26.8,46,59.8,46,52,"4","8",3,"1","2","2","2",3,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","2","1","2","2","3","3","3","1","1","2","2","3","2",NA,NA,NA,NA,NA,"1",1,0,1,0,1,"2","3",1,0,0,1,1,2,1,1,4,"0","1","2","2","1","2","2","1",0,0,"2","2","2","3"
"32","279",1984,"L3",46773,23386,"7",NA,0,"23","23","1",0,NA,"1",0,"23","23",1,"30",4,3,31,17,17,12,16,0,"1","5","2","1","1",3,1,"0","2",5,3,0,0,2,0,2,"2","2",7,"2","2","2",0,"1",1,1,0,1,"2",NA,92,64,82.5,64,82.5,"3","14",3,"1","1","2","2",3,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","1","1","1","2","1","2","2","2","2","2",NA,"1","2","2","1",NA,NA,NA,NA,NA,"3",0,0,0,0,0,"1","2",0,0,0,1,1,2,3,2,2,"2","1","2","1","1","2","1","3",0,0,"2","2","2","3"
"33","284",1984,"L3",92858,87058,"1",50,0,"52","47","1",0,NA,"1",0,"47","47",1,"49",NA,1,42,16,8,12,14,1,"1","6","2","3","1",2,1,"1","4",3,0,0,1,2,0,2,"4","3",3,"3","3","3",0,"1",1,1,1,0,"3",NA,32.6,45,50,38,43,"4","12",1,"2","2","2","2",2,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","1","2","2","1","1","1","2","2","1","3","1","1","1","1","1","1",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"3","2",1,0,0,1,0,5,4,4,3,"3","1","3","2","1","1","2","1",0,0,"3","3","3","3"
"34","289",1984,"L2",33016,39020.4285,"1",32,0,"56","57","1",0,NA,"1",0,"57","57",0,"96",7,7,53,12,NA,8,14,1,"2","4","3","1","1",3,1,"0","0",8,1,0,0,7,0,5,"3","1",7,"1","1","1",1,"2",1,0,0,1,"1",NA,23.3,35,23.7,47,38.8,"1","1",1,"1","1","1","1",1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,"2","2","2","1","2","2","1","2","3","2","2","2","2","2","2","2","1",NA,NA,NA,NA,NA,"1",1,0,1,0,1,"1","1",1,0,0,1,1,3,1,3,5,"0","1","1","2","2","2","3","1",1,0,"1","2","2","3"
"35","301",1984,"L3",33016,550,"2",5,0,"38","49","1",0,NA,"1",0,"49","49",1,"43",10,5,46,12,12,14,18,0,"1","6","2","3","1",3,1,"0","0",7,1,2,2,2,0,2,"2","1",4,NA,NA,"1",0,"1",1,1,1,1,"2",NA,67.7,60,65.3,49,56.9,"4","25",4,"1","3","1","2",5,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","2","2","2","1","2","1","3","2","1","3","1","1","2","1",NA,NA,NA,NA,NA,"3",1,0,0,0,0,"1","1",1,0,0,1,1,5,4,2,5,"5","1","1","2","2","3","3","2",0,0,"2","2","2","3"
"36","314",1984,"L3",92858,87058,"1",40,0,"30","23","1",0,NA,"2",0,"23","23",1,"47",1,2,49,20,12,12,19,1,"1","6","2","3","1",2,1,"1","4",2,0,0,0,2,0,2,"5","2",4,"3","3","3",1,"1",1,NA,1,0,"2",NA,43,62,89.1,38,59.1,"4","21",2,"1","2","1","2",5,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","1","1","1","2","2","2","3","2","2","3","1","1","2","2",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"3","3",1,0,0,1,1,4,3,2,3,"2","1","2","1","1","1","1","1",0,0,"2","2","2","3"
"37","317",1984,"L3",46773,46773,"1",45,0,"52","54","1",0,NA,"1",0,"54","54",0,"83",1,2,65,15,8,14,12,1,"1","6","2","3","1",3,1,"1","4",2,0,0,0,2,0,2,"5","3",3,"3","3","3",1,"2",1,1,1,1,"2",NA,26.5,31,37.6,46,59.8,"4","8",5,"1","2","1","2",7,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,"2","1","2","2","2","1","1","2","2","2","2","2","2","1","1","2","1",NA,NA,NA,NA,NA,"2",1,1,1,1,1,"1","4",1,0,0,1,1,3,3,1,2,"5","1","3","1","1","2","2","1",0,1,"2","2","2","3"
"38","323",1984,"L2",33016,17884,"1",38,0,"63","41","1",0,NA,"2",0,"41","41",1,"73",3,0,26,12,9,12,12,1,"1","5","5","2","1",3,1,"0","0",2,0,0,0,2,0,2,"5","2",1,"2","2","4",NA,"2",1,0,0,0,"1",NA,33.9,42,31,31,19.6,"4",NA,7,"1","1","3","2",2,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,"2","2","1","2","2","2","3","2","2","3","2","2","2","2","2","2","1",NA,NA,NA,NA,NA,"3",1,1,1,1,1,"1","1",1,0,0,1,1,4,5,1,5,"4","2","2","2","2","3","2","3",1,0,"1","1","1","3"
